,iteration,MAE,MSE,RMSE,RAE,RSE,RSQ,linear slope,linear intercept
0,0,0.9459059238333198,1.3453145924655092,1.15987697298701,0.9841711672672753,1.0030830628808731,-0.003083062880873122,0.0,9.619067192077637
1,1,0.46933824794732276,0.42457613691547363,0.6515950712792982,0.47726935616579974,0.30876789878269845,0.6912321012173015,0.6607980806597882,3.265272614859218
2,2,0.9877624700673059,1.381740278265555,1.175474490691123,0.9927581210565928,1.0006944314067507,-0.0006944314067507396,-0.0,9.622787475585938
3,3,0.46590101998613126,0.4277260897332474,0.6540077138178474,0.46888093065104236,0.31387676407587944,0.6861232359241205,0.6851377555686513,3.0184282255673134
4,4,0.4676699164360006,0.4458424149023257,0.6677143213248654,0.4520806058579794,0.30439722850727124,0.6956027714927288,0.7089332293535187,2.7960170368330806
5,5,0.44792825834905947,0.41196476313291847,0.6418448123440108,0.42222034152664695,0.2694813726787259,0.730518627321274,0.7039489224064062,2.7956788834448325
6,6,0.5029997984740869,0.5107318237443401,0.7146550382837443,0.4770074749670743,0.3372437647859321,0.6627562352140679,0.7086686442278847,2.8080383727736464
7,7,0.45789835964879416,0.4341787432680248,0.6589224106585121,0.44520209470765554,0.2926542563113156,0.7073457436886844,0.7334455918973447,2.551253690968271
8,8,0.4547301192592085,0.425952614681122,0.652650453674187,0.4433684706937729,0.28791615114269226,0.7120838488573078,0.7531380384530724,2.404224312901598
9,9,0.44814486098160594,0.4140204014368763,0.6434441711888268,0.4404029927913591,0.2815669490798055,0.7184330509201945,0.7530191991827101,2.3724093660686023
